University/College Name;School Link;City;State;Name of the state;Control;Region;Accessible to Metropolitan Area;Setting;Insituation Size;Coeducational or Single-sex?;HBCU?;Primary Focus;Undergraduate?;Where do most students live?;Religious;Budget Category;Tuition and fees without aid;Room and board;Total cost of attendance without aid;Cost of Attendance from year;Types of Aid for international students;Number of international students awarded financial aid/scholarships;Percentage of International students who receive aid;Average amount awarded;Average cost in 2023-2024 after aid (merit or need);Total awarded in millions;Meets full demonstrated need?;Amount of largest Merit Scholarship;Scholarship's Name and Information;Scholarship's Link;Scholarship's Information;2024-2025 adjusted tuition after Merit Scholarship;2024-2025 cost of attendance after largest Merit Scholarship;How to apply;Acceptance rate;International admission rate;Yield (approximate);International yield;Class of 2027 - international applications;Class of 2027 - international students admitted;Class of 2027 international accepted offer/enrolled;Regular Decision acceptance rate;Regular Decision acceptance rate from class year;Early plan offered?;Early Decision 2 offered?;Early Decision acceptance rate;Early Decision acceptance rate from year;Early Decision advantage over Regular Decision;Percent of class of 2027 filled ED;Early Action acceptance rate;Early Action acceptance rate from class year;Early Action advantage over Regular Decision;Testing Requirements;Percent of accepted students who submitted SAT scores;Percent of accepted students who submitted ACT scores;SAT comp 50%ile;SAT Math 25%ile;SAT Math 75%ile;SAT EBRW 25%ile;SAT EBRW 75%ile;ACT comp 25%ile;ACT comp 50%ile;ACT compo 75%ile;ACT math 25%ile;ACT math 75%ile;ACT English 25%ile;ACT English 75%ile;ACT Reading 25%ile;ACT Reading 75%ile;ACT Science 25%ile;ACT Science 75%ile;Testing - main data source;International 4-year graduation rate (IPEDS);International 5-year graduation rate (IPEDS);International 6-year graduation rate (IPEDS);Percent of international graduates who take longer than 4 years;International transfer-out rate;Early Decision application deadline;Early Action application deadline;Priority Deadline;Rolling admission?;Regular Decision deadline;Accepts applications after deadline on space available basis?;Early Action/Early Decision document deadline;Early Action/Early Decision financial aid deadline;Latest testing for Early Action/Early Decision;Early Action/Early Decision notification date;Early Decision 2 Application deadline;Early Decision 2 Financial aid deadline;Early Decision 2 Notification Date;Regular Decision document deadline;Latest testing accepted Regular Decision;Regular Decision/only financial aid deadline;Regular Decision notification date;Latest CDS available;US News National Universities 2025;Times Higher Education 2024 World Universities;THE - rank within USA;QS World Universities;QS World Universities (within United States);WSJ Best Colleges Rank;WSJ Best Colleges Score;US News National Liberal Arts Colleges;QS World International student rank;QS World International Student score;US News Undergrad CS;US News CS: AI;QS Computer Science;CSRankings.org Overall ranking;US News Undergraduate Business;QS Business;US News Undergrad Economics;US News Top 50 engineering? either doctorate or non-doctorate;US News Undergrad Engineering programs: Doctorate;US News Undergrad Engineering programs: Non- Doctorate;US News Undergrad Mechanical Engineering;US News Undergrad Electrical Engineering;US News Undergraduate Computer Engineering;US News Undergrad Biomedical Engineering;US News Undergrad Chemical Engineering;Abortion law status (NYT, as of October 28, 2024);Currently legal until;Gun deaths (non- suicide) per 100,000, 2018-2022, by county (Dept. of Health);On-campus violent crimes (non-sexual) reported 2018-2022, average per year (OPE);On-campus rapes/sexual assaults reported 2018-2022 - average per year (OPE);Source_List1;Source_List2;Source_List3;Source_List4;Source_List5;Source_List6
Georgia Institute of Technology (Georgia Tech);;Atlanta;GA;Georgia;Public;Southeast (Deep South);;City: Large;20K+;Coeducational;No;Professional;Majority;On-campus;0-None;$50.000;$34.484;$16.200;$54.684;;Limited;;;;$49.636;;No;Full ride;Stamps President Scholarship;https://stampsps.gatech.edu/apply/frequently-asked-questions;"Georgia Tech's most prestigious scholarship program. early Action applicants are prioritized for consideration. No separate application is needed; candidates are identified from the applicant pool.";$0;$4.000;By invitation only;13,8%;9,9%;44%;41%;8392;835;340;17,5%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Georgia Institute of Technology (Georgia Tech);;Atlanta;GA;Georgia;Public;Southeast (Deep South);;City: Large;20K+;Coeducational;No;Professional;Majority;On-campus;0-None;$50.000;$34.484;$16.200;$54.684;;Limited;;;;$49.636;;No;Full ride;Stamps President Scholarship;https://stampsps.gatech.edu/apply/frequently-asked-questions;"Georgia Tech's most prestigious scholarship program. early Action applicants are prioritized for consideration. No separate application is needed; candidates are identified from the applicant pool.";$0;$4.000;By invitation only;13,8%;9,9%;44%;41%;8392;835;340;130;17,5%;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;global_top_211;;international_playlist
Georgia Institute of Technology (Georgia Tech);https://www.gatech.edu;Atlanta;GA;Georgia;Public;Southeast (Deep South);;City: Large;20K+;Coeducational;No;Professional;Majority;On-campus;0-None;$50.000;$34.484;$16.200;$54.684;24-25;Limited;;;;$49.636;;No;Full ride;Stamps President Scholarship;https://stampsps.gatech.edu/apply/frequently-asked-questions;"Georgia Tech's most prestigious scholarship program. early Action applicants are prioritized for consideration. No separate application is needed; candidates are identified from the applicant pool.";$0;$4.000;By invitation only;13,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Georgia Southern University;https://www.georgiasouthern.edu;Statesboro;GA;Georgia;Public;Southeast (Deep South);;Town: Distant;20K+;Coeducational;No;Professional;Very High;Off-campus;0-None;$25.000;$21.784;$11.350;$37.134;23-24;Merit;76;29%;$11.107;$20.845;$0.8m;No;OOS waiver;International Diversity Scholarship;https://admissions.georgiasouthern.edu/requirements/international/;"A merit-based scholarship awarded to a limited number of new international students. No separate application needed; consideration is automatic with a completed admission application.";$7.144;$22.494;Requires application;89,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Georgia State University;;Atlanta;GA;Georgia;Public;Southeast (Deep South);;City: Large;20K+;Coeducational;No;Balanced;High;On-campus;0-None;$45.000;$30.720;$16.002;$50.722;;Merit;342;32%;$3.285;$40.752;$1.1m;No;Full ride+stipend;Stamps and Presidential Scholarships;https://honors.gsu.edu/scholars/;GSU's most prestigious scholarships, administered through the Honors College. Requires an application to the Honors College by the deadline. Open to all first-year applicants.;$0;$2.000;Requires application;52,5%;49,6%;25%;17%;2695;1338;231;52%;;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Georgia State University;;Atlanta;GA;Georgia;Public;Southeast (Deep South);;City: Large;20K+;Coeducational;No;Balanced;High;On-campus;0-None;$45.000;$30.720;$16.002;$50.722;24-25;Merit;342;32%;$3.285;$40.752;$1.1m;No;Full ride+stipend;Stamps and Presidential Scholarships;https://honors.gsu.edu/scholars/;GSU's most prestigious scholarships, administered through the Honors College. Requires an application to the Honors College by the deadline. Open to all first-year applicants.;$0;$2.000;Requires application;52,5%;49,6%;25%;17%;2695;1338;231;;;Early Decision only;;;;;;;;;Optional;33%;13%;1100;470;620;500;590;19;22;26;17;26;18;26;20;29;20;29;CDS24;56%;71%;73%;23%;9%;;;;;11/15/2024;;;;Not specified;;;;;;;;;23-24;196;401;87;851;125;369;46,7;;701;10,4;145;;851;134;53;251;102;;;;;145;;;;Limited;6 weeks;14,1;0;11,6;;;;;;international_playlist
Georgia State University;https://www.gsu.edu;Atlanta;GA;Georgia;Public;Southeast (Deep South);;City: Large;20K+;Coeducational;No;Balanced;High;On-campus;0-None;$45.000;$30.720;$16.002;$50.722;24-25;Merit;342;32%;$3.285;$40.752;$1.1m;No;Full ride+stipend;Stamps and Presidential Scholarships;https://honors.gsu.edu/scholars/;GSU's most prestigious scholarships, administered through the Honors College. Requires an application to the Honors College by the deadline. Open to all first-year applicants.;$0;$2.000;Requires application;52,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Georgian Court University;https://www.georgian.edu;Lakewood;NJ;New Jersey;Private;Northeast (Mid-Atlantic);New York City;City: Small;1K - 9K;Coeducational;No;Balanced;High;On-campus;3-Somewhat;$15.000;$37.110;$13.600;$54.710;24-25;Both;42;79%;$39.192;$14.828;$1.6m;;;;;;;;Unclear;71%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Gettysburg College;;Gettysburg;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);;Town: Fringe;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;2-Slightly;$25.000;$66.640;$16.110;$86.750;;Both;266;100%;$59.827;$23.933;$15.9m;Yes (Need-aware);$44.000;Eisenhower Scholarship;https://www.gettysburg.edu/admissions-aid/financial-aid-options/scholarships;"Gettysburg's most selective merit award for students with exceptional records in academics and community engagement. No separate application is required; consideration is automatic for all first-year applicants.";$22.640;$42.750;Automatic consideration;48%;;18%;-;;-;-;49%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Gettysburg College;https://www.gettysburg.edu;Gettysburg;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);;Town: Fringe;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;2-Slightly;$25.000;$66.640;$16.110;$86.750;24-25;Both;266;100%;$59.827;$23.933;$15.9m;Yes (Need-aware);$44.000;Eisenhower Scholarship;https://www.gettysburg.edu/admissions-aid/financial-aid-options/scholarships;"Gettysburg's most selective merit award for students with exceptional records in academics and community engagement. No separate application is required; consideration is automatic for all first-year applicants.";$22.640;$42.750;Automatic consideration;48%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Gonzaga University;;Spokane;WA;Washington;Private;West Coast;;City: Midsize;5K - 10K;Coeducational;No;Balanced;High;On-campus;3-Somewhat;$50.000;$55.480;$15.730;$75.210;;Both;156;60%;$24.218;$48.362;$3.8m;No;$25.000;First-Year Merit Scholarship;https://www.gonzaga.edu/undergraduate-admission/tuition-aid/scholarship-opportunities;All applicants are automatically considered for Merit Scholarships based on the strength of their admission application. No separate form is needed.;$30.480;$50.210;Automatic consideration;76,0%;51,9%;17%;24%;368;191;45;76%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Gonzaga University;https://www.gonzaga.edu;Spokane;WA;Washington;Private;West Coast;;City: Midsize;5K - 10K;Coeducational;No;Balanced;High;On-campus;3-Somewhat;$50.000;$55.480;$15.730;$75.210;24-25;Both;156;61%;$24.218;$48.362;$3.8m;No;$25.000;First-Year Merit Scholarship;https://www.gonzaga.edu/undergraduate-admission/tuition-aid/scholarship-opportunities;All applicants are automatically considered for Merit Scholarships based on the strength of their admission application. No separate form is needed.;$30.480;$50.210;Automatic consideration;76,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Gordon College;;Wenham;MA;Massachusetts;Private;Northeast (New England);Boston, MA;Rural: Fringe;1K - 9K;Coeducational;No;Arts and Sciences;High;On-campus;5-Very;$35.000;$30.700;$13.300;$48.000;;Both;149;97%;$14.395;$30.355;$2.1m;No;;;;;;TBD;Unclear;55,0%;80,6%;22%;18%;170;137;25;40%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Gordon College;https://www.gordon.edu;Wenham;MA;Massachusetts;Private;Northeast (New England);Boston, MA;Rural: Fringe;1K - 9K;Coeducational;No;Arts and Sciences;High;On-campus;5-Very;$35.000;$30.700;$13.300;$48.000;24-25;Both;149;97%;$14.395;$30.355;$2.1m;No;;;;;;TBD;Unclear;55,0%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Goshen College;https://www.goshen.edu;Goshen;IN;Indiana;Private;Midwest (Great Lakes);;City: Small;<1K;Coeducational;No;Balanced;Very High;On-campus;4-Moderately;$25.000;$38.890;$11.770;$54.660;24-25;Both;88;100%;$30.369;$22.711;$2.7m;No;;;;;;TBD;Unclear;88,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Goucher College;;Baltimore;MD;Maryland;Private;Northeast (Mid-Atlantic);Washington, DC;City: Small;1K - 9K;Coeducational;No;Arts and Sciences;High;On-campus;1-Historically;$30.000;$53.350;$17.190;$74.540;;Both;17;57%;$45.406;$26.494;$0.8m;No;not specified;Merit Scholarship;https://www.goucher.edu/become/international-students/international-student-faq;All international applicants are automatically considered for merit-based scholarships. No separate application is required. Decisions are based on the strength of the admission application materials.;;;Automatic consideration;74,6%;43,6%;11%;11%;564;246;26;67,0%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Goucher College;https://www.goucher.edu;Baltimore;MD;Maryland;Private;Northeast (Mid-Atlantic);Washington, DC;City: Small;1K - 9K;Coeducational;No;Arts and Sciences;High;On-campus;1-Historically;$30.000;$53.350;$17.190;$74.540;24-25;Both;17;57%;$45.406;$26.494;$0.8m;No;not specified;Merit Scholarship;https://www.goucher.edu/become/international-students/international-student-faq;All international applicants are automatically considered for merit-based scholarships. No separate application is required. Decisions are based on the strength of the admission application materials.;;;Automatic consideration;74,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Governors State University;;University Park;IL;Illinois;Public;Midwest (Great Lakes);;City: Small;1K - 9K;Coeducational;No;Balanced;Majority;Off-campus;0-None;$0;$14.506;$10.360;$28.866;;Merit;36;100%;$27.766;-$1.586;;No;Full ride+stipend;Presidential Scholarship;https://www.govst.edu/presidential-scholarships/;A premier scholarship program for high-achieving students. Requires a separate application after being admitted. Finalists must participate in an interview.;$0;$3.500;Requires application;48%;;;;;;;;;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Governors State University;;University Park;IL;Illinois;Public;Midwest (Great Lakes);;City: Small;1K - 9K;Coeducational;No;Balanced;Majority;Off-campus;0-None;$0;$14.506;$10.360;$28.866;24-25;Merit;36;100%;$27.766;-$1.586;;No;Full ride+stipend;Presidential Scholarship;https://www.govst.edu/presidential-scholarships/;A premier scholarship program for high-achieving students. Requires a separate application after being admitted. Finalists must participate in an interview. Only 2 slots per year;$0;$3.500;Requires application;48%;;;;;;;;;Early Decision only;;;;;;;;;Optional;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;Legal;Viability;4,1;0;1,2;;;affordable;;;international_playlist
Governors State University;https://www.govst.edu;University Park;IL;Illinois;Public;Midwest (Great Lakes);;City: Small;1K - 9K;Coeducational;No;Balanced;Majority;Off-campus;0-None;$0;$14.506;$10.360;$28.866;24-25;Merit;36;100%;$27.766;-$1.586;;No;Full ride+stipend;Presidential Scholarship;https://www.govst.edu/presidential-scholarships/;A premier scholarship program for high-achieving students. Requires a separate application after being admitted. Finalists must participate in an interview.;$0;$3.500;Requires application;48%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Grand Valley State University;https://www.gvsu.edu;Allendale;MI;Michigan;Public;Midwest (Great Lakes);;Town: Fringe;20K+;Coeducational;No;Professional;Very High;On-campus;0-None;$30.000;$21.548;$11.410;$36.958;24-25;Merit;215;87%;$8.564;$27.398;$1.8m;No;;;;;;TBD;Unclear;94,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Grinnell College;;Grinnell;IA;Iowa;Private;Midwest (Great Plains);;Town: Remote;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$30.000;$68.106;$16.842;$88.948;;Both;219;66%;$56.130;$28.610;$12.3m;Yes (Need-aware);Demonstrated Need;;;;$0;;Automatic consideration;14,5%;;36%;-;;-;;10%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Grinnell College;https://www.grinnell.edu;Grinnell;IA;Iowa;Private;Midwest (Great Plains);;Town: Remote;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$30.000;$68.106;$16.842;$88.948;24-25;Both;219;66%;$56.130;$28.610;$12.3m;Yes (Need-aware);Demonstrated Need;;;;$0;;Automatic consideration;14,5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Guilford College;https://www.guilford.edu;Greensboro;NC;North Carolina;Private;Southeast;Raleigh, NC;City: Large;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;2-Slightly;;$41.140;$12.900;$58.040;23-24;Merit;No data;;No data;;;No;$27.000;Nathan Hunt Scholarship;https://www.guilford.edu/admissions/financial-aid/scholarships-and-grants;One of Guilford's top Merit Scholarships. All applicants for admission are automatically considered. No separate application is necessary.;$14.140;$31.040;Automatic consideration;84%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;;;;international_playlist
Gustavus Adolphus College;https://www.gustavus.edu;St. Peter;MN;Minnesota;Private;Midwest (Great Plains);;Town: Fringe;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;2-Slightly;$35.000;$54.310;$11.290;$69.600;23-24;Both;85;97%;$37.139;$32.461;$3.1m;No;$32.500;President Scholarship;https://gustavus.edu/admission/admissions/President'sScholarship.php;The college's most prestigious academic scholarship. Students must first be admitted to the college to be considered. Top applicants are invited to apply.;$21.810;$37.100;Automatic consideration;74%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Hamilton College;;Clinton;NY;New York;Private;Northeast (Mid-Atlantic);;Suburb: Midsize;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$15.000;$68.960;$17.510;$90.470;;Need;70;45%;$72.792;$13.638;$5.1m;Yes (Need-aware);;;;;;;;11,8%;2,2%;41%;50%;3516;78;39;10,1%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Hamilton College;https://www.hamilton.edu;Clinton;NY;New York;Private;Northeast (Mid-Atlantic);;Suburb: Midsize;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$15.000;$68.960;$17.510;$90.470;24-25;Need;70;46%;$72.792;$13.638;$5.1m;Yes (Need-aware);;;;;;;;11,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Hampden-Sydney College;;Hampden-Sydne;VA;Virginia;Private;Southeast;;Rural: Distant;<1K;Men's;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$10.000;$54.550;$16.732;$75.282;;Merit;5;95%;$61.577;$9.921;$0.1m;No;Full ride+stipend;Madison Scholarship;https://www.hsc.edu/documents/FinAid/scholarships/MadisonScholarship.pdf;A premier Merit Scholarship. A separate application is required, including an essay and recommendation letter. Focuses on academic excellence and leadership.;$0;$2.000;By invitation only;50%;37%;22%;-;;-;;;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Hampden-Sydney College;;Hampden-Sydne;VA;Virginia;Private;Southeast;;Rural: Distant;<1K;Men's;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$10.000;$54.550;$16.732;$75.282;24-25;Merit;5;95%;$61.577;$9.921;$0.1m;No;Full ride+stipend;Madison Scholarship;https://www.hsc.edu/documents/FinAid/scholarships/MadisonScholarship.pdf;A premier Merit Scholarship. A separate application is required, including an essay and recommendation letter. Focuses on academic excellence and leadership.;$0;$2.000;By invitation only;50%;37%;22%;;-;-;;;;Both;;50%;2027;;100%;;;;Rec.;15%;3%;1160;520;610;540;620;22;26;31;21;28;20;30;;;;;USN25;;;;;;;;;;;;;;;;;;;;;;;22-23;;;;;;;;103;;;;;;;;;277;;;;;;;;;Legal;Viability;no data;0;2,2;;generous_aid;affordable;;;international_playlist
Hampden-Sydney College;https://www.hsc.edu;Hampden-Sydne;VA;Virginia;Private;Southeast;;Rural: Distant;<1K;Men's;No;Arts and Sciences;Exclusively;On-campus;1-Historically;$10.000;$54.550;$16.732;$75.282;24-25;Merit;5;95%;$61.577;$9.921;$0.1m;No;Full ride+stipend;Madison Scholarship;https://www.hsc.edu/documents/FinAid/scholarships/MadisonScholarship.pdf;A premier Merit Scholarship. A separate application is required, including an essay and recommendation letter. Focuses on academic excellence and leadership.;$0;$2.000;By invitation only;50%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Hampton University;;Hampton;VA;Virginia;Private;Southeast;;Suburb: Large;1K - 9K;Coeducational;Yes;Professional;High;On-campus;1-Historically;$10.000;$30.842;$14.308;$49.150;;Both;16;41%;$36.808;$9.340;$0.6m;;;;;;;;Unclear;48%;11%;21%;-;;-;;;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Hampton University;https://www.hamptonu.edu;Hampton;VA;Virginia;Private;Southeast;;Suburb: Large;1K - 9K;Coeducational;Yes;Professional;High;On-campus;1-Historically;$10.000;$30.842;$14.308;$49.150;24-25;Both;16;41%;$36.808;$9.340;$0.6m;;;;;;;;Unclear;48%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Hanover College;;Hanover;IN;Indiana;Private;Midwest (Great Lakes);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;2-Slightly;;$44.288;$14.013;$62.301;;Merit;38;84%;$33.196;;$1.3m;No;Full ride+stipend;Spencer Scholarship for Engineering;https://www.hanover.edu/admission/financialaid/;This scholarship is for students in the dual-degree engineering program. Other Merit Scholarships are awarded automatically based on the admission application. No separate application is required for general merit awards.;$0;$3.000;Requires application;84%;;12%;-;;-;;84%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Hanover College;https://www.hanover.edu;Hanover;IN;Indiana;Private;Midwest (Great Lakes);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;2-Slightly;;$44.288;$14.013;$62.301;24-25;Merit;38;84%;$33.196;;$1.3m;No;Full ride+stipend;Spencer Scholarship for Engineering;https://www.hanover.edu/admission/financialaid/;This scholarship is for students in the dual-degree engineering program. Other Merit Scholarships are awarded automatically based on the admission application. No separate application is required for general merit awards.;$0;$3.000;Requires application;84%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Harding University;;Searcy;AR;Arkansas;Private;South (Central);;Town: Distant;1K - 9K;Coeducational;No;Professional;High;On-campus;5-Very;$30.000;$25.962;$9.060;$39.022;;Merit;105;58%;$13.769;$25.059;$1.4m;No;;;;;;;Unclear;39%;;100%;-;;-;;39%;;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Harding University;https://www.harding.edu;Searcy;AR;Arkansas;Private;South (Central);;Town: Distant;1K - 9K;Coeducational;No;Professional;High;On-campus;5-Very;$30.000;$25.962;$9.060;$39.022;24-25;Merit;105;58%;$13.769;$25.059;$1.4m;No;;;;;;;Unclear;39%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Hartwick College;;Oneonta;NY;New York;Private;Northeast (Mid-Atlantic);;Town: Remote;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;2-Slightly;$60.000;$54.962;$15.232;$74.194;;Merit;15;45%;$12.373;$59.123;$0.2m;No;;;;;;TBD;Unclear;70%;70%;16%;;;;;69%;;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Hartwick College;https://www.hartwick.edu;Oneonta;NY;New York;Private;Northeast (Mid-Atlantic);;Town: Remote;1K - 9K;Coeducational;No;Balanced;Very High;On-campus;2-Slightly;$60.000;$54.962;$15.232;$74.194;24-25;Merit;15;46%;$12.373;$59.123;$0.2m;No;;;;;;TBD;Unclear;70%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
